"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"8225","Nimbus CS","2018-19","6,685","13,370",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"8226","Extras NI","2018-19","22,000","55,000",0,"Northern Ireland","Belfast",78101,"Admin & Support Service Activities"
"8227","Core Systems (NI) Ltd","2018-19","7,350","15,000",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"8228","Trimedika Limited","2018-19","49,000","556,000",7,"Northern Ireland","Belfast",32500,"Manufacturing"
"8229","Q Review Limited","2018-19","2,655","5,310",0,"Northern Ireland","Causeway Coast and Glens",73200,"Professional, Scientific & Technical Activities"
"8230","Struct Steel Engineering","2018-19","2,250","4,500",0,"Northern Ireland","Fermanagh and Omagh",71110,"Professional, Scientific & Technical Activities"
"8231","Lakeland Computers","2018-19","920","1,840",0,"Northern Ireland","Fermanagh and Omagh",62020,"Information & Communication"
"8232","Edgewater Contracts","2018-19","14,700","30,000",0,"Northern Ireland","Mid Ulster",31010,"Manufacturing"
"8233","SciLeads Ltd.","2018-19","44,368","103,078",0,"Northern Ireland","Belfast",58290,"Information & Communication"
"8234","Sun Harvester","2018-19","29,333","97,775",2,"Great Britain","Causeway Coast and Glens",43210,"Construction"
"8235","F6S Network Limited","2018-19","21,767","54,417",0,"Great Britain","Belfast",62090,"Information & Communication"
"8236","GLOBAL AUTOMATION","2018-19","3,390","6,780",0,"Northern Ireland","Mid Ulster",62010,"Information & Communication"
"8237","ATG Services (Ireland) Ltd","2018-19","3,150","6,300",0,"Northern Ireland","Causeway Coast and Glens",38110,"Water Supply, Sewerage, Waste Management & Remediation Activities"
"8238","Re-Vana Ltd","2017-18","99,989","324,888",0,"Northern Ireland","Belfast",21100,"Manufacturing"
"8239","Brainwavebank Ltd.","2017-18","37,500","187,500",0,"Northern Ireland","Belfast",72200,"Professional, Scientific & Technical Activities"
"8240","Liopa Ltd","2017-18","100,087","184,741",0,"Northern Ireland","Belfast",62090,"Information & Communication"
"8241","Intu Global Shelter","2017-18","125,000","250,000",0,"Northern Ireland","Belfast",41100,"Construction"
"8242","See Sense","2018-19","100,000","200,000",0,"Northern Ireland","Ards and North Down",74100,"Professional, Scientific & Technical Activities"
"8243","Brainwavebank Ltd.","2018-19","37,500","187,500",0,"Northern Ireland","Belfast",72200,"Professional, Scientific & Technical Activities"
"8244","Digishare360","2018-19","131,237","536,192",0,"Northern Ireland","Causeway Coast and Glens",82990,"Admin & Support Service Activities"
"8245","Uni Baggage Ltd","2018-19","14,820","37,050",0,"Northern Ireland","Belfast",50100,"Transportation & Storage"
"8246","ACOMCO Limited","2017-18","82,500","250,000",0,"Northern Ireland","Belfast",55209,"Accommodation & Food Service Activities"
"8247","Woodfloor Warehouse Limited","2018-19","13,651","39,328",0,"Northern Ireland","Ards and North Down",47530,"Wholesale & Retail Trade & Repair of Vehicles"
"8248","Eirtech Aviation Composites Limited","2018-19","49,860","148,913",0,"Irish Republic","Belfast",13990,"Manufacturing"
"8249","Magdek Thermal Systems Limited","2018-19","3,110","6,220",0,"Northern Ireland","Lisburn and Castlereagh",28250,"Manufacturing"
"8250","Bluesona Limited","2018-19","4,655","9,310",0,"Northern Ireland","Newry, Mourne and Down",26400,"Manufacturing"
