"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"52","Grade-All International Ltd","2014-15","48,753","139,294",0,"Northern Ireland","Mid Ulster",28220,"Manufacturing"
"53","MMS NI Ltd","2014-15","170,000","1,877,710",0,"Northern Ireland","Mid Ulster",46150,"Wholesale & Retail Trade & Repair of Vehicles"
"54","Dale Farm Limited","2014-15","305,808","1,223,234",0,"Northern Ireland","Belfast",10510,"Manufacturing"
"55","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"56","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"57","Best Choice Garage Doors","2014-15","10,672","23,715",0,"Northern Ireland","Fermanagh and Omagh",25120,"Manufacturing"
"58","Surgical Systems Ireland Limited","2014-15","29,839","66,308",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",46460,"Wholesale & Retail Trade & Repair of Vehicles"
"59","Kilkeel Kippering Ltd","2014-15","0","314,500",2,"Northern Ireland","Newry, Mourne and Down",10200,"Manufacturing"
"60","Evron Foods","2014-15","125,210","500,840",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10710,"Manufacturing"
"61","Eventmap Limited","2014-15","85,000","636,000",10,"Northern Ireland","Belfast",62012,"Information & Communication"
"62","Yumpod Limited","2014-15","31,200","182,000",4,"Northern Ireland","Newry, Mourne and Down",62020,"Information & Communication"
"63","Genesis Crafty","2015-16","22,439","77,126",0,"Northern Ireland","Mid Ulster",10710,"Manufacturing"
"64","UForm","2014-15","131,682","1,655,000",0,"Northern Ireland","Mid Ulster",31020,"Manufacturing"
"65","Westland Horticulture Limited","2014-15","870,000","6,920,000",70,"Northern Ireland","Mid Ulster",8920,"Mining & Quarrying"
"66","Terex","2014-15","57,414","282,400",0,"United States of America","Fermanagh and Omagh",28920,"Manufacturing"
"67","Terex","2014-15","126,736","633,680",0,"United States of America","Fermanagh and Omagh",28920,"Manufacturing"
"68","TLT (N.I.)","2014-15","16,661","44,295",0,"Great Britain","Belfast",69102,"Professional, Scientific & Technical Activities"
"69","Autoline Insurance Group","2014-15","390,000","3,416,276",60,"Northern Ireland","Newry, Mourne and Down",66220,"Financial & Insurance Activities"
"70","Mobipaypoint UK Ltd","2014-15","48,000","395,000",10,"Northern Ireland","Newry, Mourne and Down",62010,"Information & Communication"
"71","McCreight Potatoes Limited","2014-15","7,140","17,850",0,"Northern Ireland","Newry, Mourne and Down",10310,"Manufacturing"
"72","Heartsine Technologies Limited","2014-15","360,000","2,867,537",40,"United States of America","Belfast",32500,"Manufacturing"
"73","Merchant Warehouse","2014-15","105,283","599,571",0,"United States of America","Belfast",62020,"Information & Communication"
"74","PricewaterhouseCoopers","2014-15","432,000","1,815,948",0,"Great Britain","Belfast",69201,"Professional, Scientific & Technical Activities"
"75","McAuley Precision Limited","2014-15","24,705","72,350",1,"Northern Ireland","Causeway Coast and Glens",25620,"Manufacturing"
"76","Terex","2014-15","98,343","468,300",0,"United States of America","Fermanagh and Omagh",28920,"Manufacturing"
"77","Target Dry Limited","2014-15","32,286","85,721",1,"Northern Ireland","Belfast",14130,"Manufacturing"
"78","McColgans Quality Foods Limited","2014-15","900,000","7,361,800",43,"Northern Ireland","Derry City and Strabane",10130,"Manufacturing"
"79","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"80","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"81","PricewaterhouseCoopers","2014-15","1,668,015","20,252,000",303,"Great Britain","Belfast",69201,"Professional, Scientific & Technical Activities"
"82","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities"
"83","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"84","Best Western White Horse Hotel","2014-15","62,078","492,091",0,"Northern Ireland","Derry City and Strabane",55100,"Accommodation & Food Service Activities"
"85","W.R. Book-Keeping Services Limited","2014-15","5,540","22,000",1,"Northern Ireland","Belfast",69202,"Professional, Scientific & Technical Activities"
"86","Eventmap Limited","2014-15","23,814","59,536",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"87","Philips Electronics UK Limited","2014-15","390,399","3,649,600",32,"Northern Ireland","Belfast",21200,"Manufacturing"
"88","Finn Lough","2014-15","98,652","487,768",0,"Northern Ireland","Fermanagh and Omagh",55209,"Accommodation & Food Service Activities"
"89","Wright Composites Limited","2014-15","123,063","410,211",0,"Northern Ireland","Mid and East Antrim",29100,"Manufacturing"
"90","Capper Trading","2014-15","528,615","2,421,530",0,"Northern Ireland","Mid Ulster",10910,"Manufacturing"
"91","Kainos Software Limited","2014-15","1,500,797","4,774,457",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"92","One Stop Data Limited","2014-15","17,183","42,957",1,"Great Britain","Derry City and Strabane",82200,"Admin & Support Service Activities"
"93","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"94","Ernst & Young","2014-15","2,430,000","24,562,000",486,"Great Britain","Belfast",69201,"Professional, Scientific & Technical Activities"
"95","Opus Retail Solutions Limited","2014-15","33,080","83,000",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"96","Cubis Industries","2014-15","232,000","3,858,800",58,"Irish Republic","Armagh City, Banbridge and Craigavon",25990,"Manufacturing"
"97","Flite Software (NI) Limited","2014-15","36,954","78,625",0,"Northern Ireland","Derry City and Strabane",62012,"Information & Communication"
"98","Connected Health Limited","2014-15","30,500","76,250",1,"Northern Ireland","Belfast",86102,"Human & Social Work Activities"
"99","AGR Automation","2014-15","49,971","154,039",0,"Great Britain","Mid and East Antrim",71129,"Professional, Scientific & Technical Activities"
"100","Tactility Factory Limited","2014-15","27,600","278,000",5,"Northern Ireland","Belfast",23690,"Manufacturing"
"101","Saturn Led Limited","2014-15","28,000","206,000",4,"Northern Ireland","Mid Ulster",46520,"Wholesale & Retail Trade & Repair of Vehicles"
"102","CMG Plumbing and Heating","2014-15","38,400","249,000",6,"Northern Ireland","Mid Ulster",33200,"Manufacturing"
"103","No More Dramas Ltd","2014-15","4,320","10,800",0,"Northern Ireland","Fermanagh and Omagh",20420,"Manufacturing"
"104","Decom Engineering","2014-15","38,000","241,100",5,"Northern Ireland","Mid Ulster",25730,"Manufacturing"
"105","Fane Valley Co-Operative Society Limited","2014-15","238,926","796,419",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10130,"Manufacturing"
"106","Finnebrogue Artisan","2014-15","348,303","0",0,"Northern Ireland","Newry, Mourne and Down",10130,"Manufacturing"
"107","Silverwood Doors","2014-15","49,000","323,360",10,"Northern Ireland","Lisburn and Castlereagh",31020,"Manufacturing"
"108","Woodland Kitchens (N.I.) Limited","2014-15","82,280","248,200",2,"Northern Ireland","Causeway Coast and Glens",31020,"Manufacturing"
"109","P W S Ireland Limited","2014-15","32,296","80,740",2,"Irish Republic","Newry, Mourne and Down",25990,"Manufacturing"
"110","New World Developments Limited","2014-15","94,215","290,716",2,"Northern Ireland","Mid and East Antrim",22230,"Manufacturing"
"111","New World Developments Limited","2014-15","100,000","717,800",25,"Northern Ireland","Mid and East Antrim",22230,"Manufacturing"
"112","Northside Graphics Limited","2014-15","20,528","51,321",0,"Northern Ireland","Belfast",18129,"Manufacturing"
"113","Douglas & Grahame Limited","2014-15","60,000","390,000",3,"Northern Ireland","Mid and East Antrim",14131,"Manufacturing"
"114","Islander Kelp Ltd","2014-15","40,238","58,316",0,"Northern Ireland","Causeway Coast and Glens",10200,"Manufacturing"
"115","Texthelp Ltd.","2014-15","30,166","60,333",0,"Northern Ireland","Antrim and Newtownabbey",62010,"Information & Communication"
"116","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities"
"117","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Antrim and Newtownabbey",96090,"Other Service Activities"
"118","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"119","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"120","McElmeel Mobility Services Limited","2014-15","49,660","124,150",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",30990,"Manufacturing"
"121","Delegate Recruitment Limited","2014-15","39,790","99,475",2,"Northern Ireland","Belfast",78100,"Admin & Support Service Activities"
"122","Ernst & Young","2014-15","807,974","4,157,123",0,"Great Britain","Belfast",69201,"Professional, Scientific & Technical Activities"
"123","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"124","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"125","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"126","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"127","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"128","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"129","Citibank International PLC","2014-15","752,994","3,011,975",0,"United States of America","Belfast",64191,"Financial & Insurance Activities"
"130","James Leckey Design Limited","2014-15","37,054","74,109",0,"Northern Ireland","Lisburn and Castlereagh",30920,"Manufacturing"
"131","Kainos Software Limited","2014-15","35,384","70,768",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"132","Bite to Savour","2014-15","1,584","3,520",0,"Northern Ireland","Newry, Mourne and Down",10890,"Manufacturing"
"133","Metalweb","2014-15","72,000","544,000",12,"Great Britain","Newry, Mourne and Down",25990,"Manufacturing"
"134","Guru Ping (UK) Ltd","2014-15","41,838","83,675",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"135","Alexander Mann Solutions Limited","2014-15","600,542","2,527,053",0,"Great Britain","Belfast",78100,"Admin & Support Service Activities"
"136","Webtech (N.I.) Limited","2014-15","767,000","11,055,313",35,"Irish Republic","Fermanagh and Omagh",22220,"Manufacturing"
"137","T.G. Eakin Limited","2014-15","23,864","47,728",0,"Northern Ireland","Ards and North Down",22190,"Manufacturing"
"138","Dowlers","2014-15","10,000","34,900",0,"Northern Ireland","Fermanagh and Omagh",47190,"Wholesale & Retail Trade & Repair of Vehicles"
"139","Ionology","2014-15","176,864","393,030",0,"Northern Ireland","Belfast",63110,"Information & Communication"
"140","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"141","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"142","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"143","ExamTime Ltd","2014-15","160,513","526,522",0,"Irish Republic","Belfast",62012,"Information & Communication"
"144","Cubis Industries","2014-15","35,660","100,678",0,"Irish Republic","Armagh City, Banbridge and Craigavon",25990,"Manufacturing"
"145","Atlas Fire & Security (NI) Limited","2014-15","5,390","11,000",0,"Northern Ireland","Belfast",43290,"Construction"
"146","Flowlens Ltd","2014-15","37,743","83,874",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"147","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"148","Kilkeel Seafoods Ltd","2014-15","99,000","933,660",33,"Great Britain","Newry, Mourne and Down",10200,"Manufacturing"
"149","Annie's Traditional Food","2015-16","25,000","319,500",7,"Northern Ireland","Causeway Coast and Glens",10890,"Manufacturing"
"150","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"151","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"152","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"153","Catagen Limited","2014-15","435,175","791,228",0,"Northern Ireland","Belfast",71121,"Professional, Scientific & Technical Activities"
"154","Manmade","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",10710,"Manufacturing"
"155","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities"
"156","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities"
"157","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities"
"158","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"159","Domestic Sheepskins","2014-15","31,544","78,860",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",46240,"Wholesale & Retail Trade & Repair of Vehicles"
"160","Corlin Developments Limited","2014-15","3,675","7,500",0,"Northern Ireland","Derry City and Strabane",43210,"Construction"
"161","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"162","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"163","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"164","Hutchinson Engineering","2014-15","114,607","286,517",0,"Northern Ireland","Causeway Coast and Glens",25620,"Manufacturing"
"165","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"166","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"167","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"168","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"169","MJM Group","2014-15","25,000","80,508",0,"Northern Ireland","Newry, Mourne and Down",16230,"Manufacturing"
"170","Vivomed Ltd","2014-15","29,687","65,463",0,"Northern Ireland","Newry, Mourne and Down",32500,"Manufacturing"
"171","Hyde Park Homes","2014-15","7,548","34,870",0,"Northern Ireland","Mid Ulster",16230,"Manufacturing"
"172","Global Equipment Spares Limited","2014-15","49,000","232,960",7,"Northern Ireland","Derry City and Strabane",28920,"Manufacturing"
"173","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Lisburn and Castlereagh",96090,"Other Service Activities"
"174","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities"
"175","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities"
"176","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"177","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"178","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"179","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"180","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Lisburn and Castlereagh",96090,"Other Service Activities"
"181","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities"
"182","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"183","Interactive Trading Group Ltd","2014-15","43,326","73,910",0,"Northern Ireland","Fermanagh and Omagh",64999,"Financial & Insurance Activities"
"184","Sembarc Limited","2014-15","33,349","62,922",0,"Northern Ireland","Lisburn and Castlereagh",26301,"Manufacturing"
"185","EMS Environmental Marketing Solutions Ltd","2014-15","70,340","175,850",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"186","Proofpoint","2014-15","611,000","6,388,780",94,"United States of America","Belfast",62090,"Information & Communication"
"187","Farmgate Consultancy Limited","2014-15","24,750","49,500",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",82990,"Admin & Support Service Activities"
"188","Phlok Ltd","2014-15","49,875","118,750",0,"Northern Ireland","Newry, Mourne and Down",62010,"Information & Communication"
"189","U.M.I. Foods","2014-15","45,000","502,000",15,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing"
"190","Hilden Brewery","2014-15","0","262,877",4,"Northern Ireland","Lisburn and Castlereagh",11050,"Manufacturing"
"191","Mackle Snacks","2014-15","48,000","362,000",4,"Northern Ireland","Armagh City, Banbridge and Craigavon",10612,"Manufacturing"
"192","Exploristics Ltd","2014-15","76,000","340,000",8,"Northern Ireland","Belfast",63110,"Information & Communication"
"193","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities"
"194","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"195","Pulse Technology Systems","2014-15","42,120","360,300",2,"Northern Ireland","Mid Ulster",62012,"Information & Communication"
"196","Heatherlea Fine Foods NI Limited","2014-15","5,000","16,827",0,"Northern Ireland","Ards and North Down",10710,"Manufacturing"
"197","Finlay Foods","2014-15","32,000","436,400",8,"Northern Ireland","Lisburn and Castlereagh",10890,"Manufacturing"
"198","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities"
"199","Impro Printing Ltd","2014-15","14,176","35,440",1,"Northern Ireland","Belfast",18129,"Manufacturing"
"200","ShopKeep.Com","2014-15","173,138","432,845",0,"United States of America","Belfast",62012,"Information & Communication"
"201","CCL Label Ireland Limited","2014-15","97,975","326,584",0,"Northern Ireland","Belfast",18121,"Manufacturing"
"202","Maximus Crushing & Screening Ltd","2014-15","9,900","28,217",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"203","Cornmarket Insurance Services Limited","2014-15","48,000","441,184",16,"Northern Ireland","Belfast",66220,"Financial & Insurance Activities"
"204","Linden Foods Limited","2014-15","958,908","28,897,000",164,"Northern Ireland","Mid Ulster",10110,"Manufacturing"
"205","CDE Global Limited","2014-15","38,000","75,999",0,"Northern Ireland","Mid Ulster",28921,"Manufacturing"
"206","Hilden Brewery","2014-15","17,600","69,800",0,"Northern Ireland","Lisburn and Castlereagh",11050,"Manufacturing"
"207","Novosco Ltd","2014-15","34,274","68,548",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"208","United Dairy Farmers Limited","2014-15","34,064","68,128",0,"Northern Ireland","Belfast",10510,"Manufacturing"
"209","MJM Group","2014-15","154,365","578,145",0,"Northern Ireland","Newry, Mourne and Down",16230,"Manufacturing"
"210","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"211","Name cannot be released","2014-15","1,000","18,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"212","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"213","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"214","Deloitte","2014-15","1,859,000","31,124,532",338,"Great Britain","Belfast",69201,"Professional, Scientific & Technical Activities"
"215","Allstate Northern Ireland Limited","2014-15","81,663","406,345",0,"United States of America","Belfast",66220,"Financial & Insurance Activities"
"216","PostalSort Limited","2014-15","3,200","6,400",0,"Northern Ireland","Belfast",53201,"Transportation & Storage"
"217","RecyCo Limited","2014-15","2,217","18,346",0,"Northern Ireland","Fermanagh and Omagh",38320,"Water Supply, Sewerage, Waste Management & Remediation Activities"
"218","First Derivatives Public Limited Company","2014-15","3,285,000","41,390,000",365,"Northern Ireland","Newry, Mourne and Down",66190,"Financial & Insurance Activities"
"219","PricewaterhouseCoopers","2014-15","1,900,080","19,951,416",504,"Great Britain","Belfast",69201,"Professional, Scientific & Technical Activities"
"220","Almac Group Limited","2014-15","1,501,123","3,490,983",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",72190,"Professional, Scientific & Technical Activities"
"221","Bite to Savour","2014-15","6,000","15,000",0,"Northern Ireland","Newry, Mourne and Down",10890,"Manufacturing"
"222","Intelligent Environments Europe Limited","2014-15","420,000","4,228,808",50,"Great Britain","Belfast",62090,"Information & Communication"
"223","Rapid7","2014-15","510,000","6,277,333",75,"United States of America","Belfast",62090,"Information & Communication"
"224","Puppet","2014-15","1,000,000","7,409,212",100,"United States of America","Belfast",62090,"Information & Communication"
"225","Nicholson & Bass Limited","2014-15","24,440","61,100",1,"Northern Ireland","Antrim and Newtownabbey",18129,"Manufacturing"
"226","Muckross Estate Limited","2014-15","5,300","15,450",0,"Northern Ireland","Fermanagh and Omagh",93290,"Arts, Entertainment & Recreation"
"227","ECGO Limited","2014-15","5,800","14,500",0,"Northern Ireland","Derry City and Strabane",20140,"Manufacturing"
"228","Blue Mac (Manufacturing) Ltd","2014-15","10,000","67,676",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"229","Karen McAvoy Publishing Ltd","2014-15","8,978","19,950",0,"Northern Ireland","Lisburn and Castlereagh",18129,"Manufacturing"
"230","Platinum Precision Engineering Limited","2014-15","48,800","283,000",4,"Northern Ireland","Newry, Mourne and Down",25620,"Manufacturing"
"231","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"232","Savile Row","2014-15","20,000","100,600",0,"Northern Ireland","Mid Ulster",14190,"Manufacturing"
"233","KME Steelworks","2014-15","77,836","176,900",0,"Irish Republic","Lisburn and Castlereagh",28920,"Manufacturing"
"234","Duck Pond Tea Room","2014-15","4,160","15,900",0,"Northern Ireland","Causeway Coast and Glens",10710,"Manufacturing"
"235","Monotype Limited","2014-15","396,341","1,638,219",0,"United States Of America","Belfast",62090,"Information & Communication"
"236","Valley Hotel","2014-15","5,402","12,005",0,"Northern Ireland","Mid Ulster",55100,"Accommodation & Food Service Activities"
"237","Fluent Technology Limited","2014-15","65,200","519,000",8,"Northern Ireland","Lisburn and Castlereagh",63110,"Information & Communication"
"238","Panache Jewellery Displays Ltd","2014-15","5,000","29,000",1,"Northern Ireland","Mid Ulster",32120,"Manufacturing"
"239","Mindflood Ltd","2014-15","3,664","7,328",0,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities"
"240","John C Brow Limited","2014-15","5,445","12,100",0,"Northern Ireland","Belfast",22220,"Manufacturing"
"241","Moyola Precision Engineering Limited","2014-15","22,444","60,053",0,"Northern Ireland","Mid Ulster",25620,"Manufacturing"
"242","Leisure Industry Academy","2014-15","4,000","8,163",0,"Northern Ireland","Belfast",85590,"Education"
"243","Deli Lites","2014-15","37,520","158,800",2,"Northern Ireland","Newry, Mourne and Down",10890,"Manufacturing"
"244","BLK Box","2014-15","1,560","4,199",0,"Northern Ireland","Belfast",93190,"Arts, Entertainment & Recreation"
"245","Dawson Materials Handling Equipment Ltd","2014-15","17,820","39,600",0,"Northern Ireland","Belfast",25620,"Manufacturing"
"246","Wrightbus Limited","2014-15","650,000","5,541,539",130,"Northern Ireland","Antrim and Newtownabbey",29320,"Manufacturing"
"247","TotalMobile Solutions Ltd","2014-15","34,360","85,899",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"248","Shadow Wing Security Ltd","2014-15","1,881","3,840",0,"Northern Ireland","Antrim and Newtownabbey",80200,"Admin & Support Service Activities"
"249","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"250","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Ards and North Down",96090,"Other Service Activities"
"251","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"252","Analytics Engines Limited","2014-15","98,000","980,000",10,"Northern Ireland","Belfast",72100,"Professional, Scientific & Technical Activities"
"253","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"254","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"255","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities"
"256","Broighter Gold Rapeseed Oil","2014-15","3,000","13,000",1,"Northern Ireland","Causeway Coast and Glens",10410,"Manufacturing"
"257","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"258","Redburn Consulting Ltd","2014-15","8,000","20,000",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"259","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"260","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"261","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"262","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"263","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities"
"264","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"265","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities"
"266","Name cannot be released","2014-15","1,000","18,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"267","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"268","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"269","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"270","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"271","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"272","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"273","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"274","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"275","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"276","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"277","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"278","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"279","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",93199,"Arts, Entertainment & Recreation"
"280","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Ards and North Down",96090,"Other Service Activities"
"281","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"282","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
